; Candidate function boundaries for /home/andrew/netgearr8000/v2-staging/firmware/brcmfmac43602-pcie.ap.bin
; Detection: Thumb-2 'push {..,lr}' prologue -> nearest following
; 'pop {..,pc}' or 'bx lr' epilogue (approx=1 means no clean
; epilogue was found before the next prologue; end offset is the
; next prologue's start as a fallback boundary).
; Total candidates: 1879
; offset_start   offset_end  size_bytes  approx
0x00218a  0x0021a6        28  1
0x0021a6  0x0021c8        34  1
0x0021c8  0x0021ea        34  1
0x0021ea  0x00220c        34  1
0x00220c  0x00222e        34  1
0x00222e  0x002250        34  1
0x002250  0x0022cc       124  0
0x002714  0x00272e        26  0
0x0027bc  0x0027e4        40  0
0x0027ea  0x002826        60  1
0x002826  0x002924       254  0
0x002938  0x0029a0       104  0
0x0029a8  0x0029f6        78  0
0x002a38  0x002aec       180  0
0x002b2c  0x002b44        24  0
0x002b44  0x002b7a        54  0
0x002ba0  0x002dfc       604  0
0x002e64  0x002e82        30  0
0x002e88  0x002e9e        22  0
0x002ea4  0x002eba        22  0
0x002ec0  0x002ed6        22  0
0x002ed6  0x002eec        22  0
0x002f08  0x002f28        32  0
0x002f28  0x002f98       112  0
0x002ff8  0x00301e        38  0
0x003036  0x003060        42  0
0x003070  0x0030be        78  0
0x0030c8  0x00311e        86  0
0x00314e  0x00315a        12  0
0x003192  0x0031a2        16  0
0x0031a4  0x00323e       154  0
0x003244  0x003262        30  0
0x003264  0x0032a8        68  0
0x0032ac  0x003314       104  0
0x00331c  0x003364        72  0
0x003376  0x003424       174  0
0x003442  0x0034ee       172  0
0x003516  0x0035cc       182  0
0x0035e4  0x0035f2        14  1
0x0035f2  0x003600        14  1
0x003600  0x003630        48  1
0x003630  0x0036b8       136  1
0x0036b8  0x00383a       386  0
0x003840  0x00395a       282  0
0x003998  0x0039c6        46  0
0x0039ce  0x0039e2        20  0
0x003a60  0x003b0e       174  0
0x003b30  0x003ba6       118  0
0x003c18  0x003c3a        34  0
0x003c68  0x003caa        66  1
0x003caa  0x003cf0        70  0
0x003cf8  0x003d3c        68  1
0x003d3c  0x003d7e        66  1
0x003d7e  0x003d86         8  0
0x003daa  0x003dfa        80  0
0x003dfa  0x003e14        26  0
0x003e16  0x003e46        48  0
0x003e5c  0x003e9c        64  0
0x003e9c  0x003efe        98  0
0x003f00  0x003f46        70  0
0x003f48  0x003f98        80  1
0x003f98  0x003fbe        38  0
0x003fc2  0x0040ca       264  0
0x0040ca  0x0040da        16  0
0x0040de  0x004112        52  0
0x004112  0x0041a8       150  0
0x0041ac  0x004252       166  0
0x004256  0x004292        60  0
0x004292  0x004452       448  0
0x00446e  0x0044e2       116  0
0x0044e4  0x0044fa        22  0
0x004500  0x00457a       122  0
0x00457e  0x0045ac        46  0
0x0045b0  0x0045d4        36  1
0x0045d4  0x004600        44  0
0x004604  0x0046c6       194  0
0x0046d6  0x00473c       102  0
0x00479a  0x0047fc        98  0
0x004808  0x0048cc       196  0
0x0048d8  0x0048f0        24  0
0x0048fc  0x004994       152  0
0x0049a0  0x004e62      1218  0
0x004e84  0x004f22       158  0
0x004f28  0x004fa2       122  0
0x004fa8  0x004ff8        80  1
0x004ff8  0x00505c       100  0
0x00507e  0x0050fa       124  0
0x005100  0x0051e0       224  0
0x0051e0  0x005278       152  0
0x00527a  0x0052ea       112  0
0x0052ea  0x0053ec       258  0
0x0053ec  0x005412        38  0
0x00543c  0x0054a8       108  0
0x0054ac  0x00558c       224  1
0x00558c  0x0055c6        58  1
0x0055c6  0x00560e        72  0
0x00560e  0x005686       120  0
0x005696  0x0056e6        80  1
0x0056e6  0x00574c       102  0
0x00574c  0x005794        72  1
0x005794  0x00587e       234  0
0x005886  0x0058ac        38  1
0x0058ac  0x0058ca        30  0
0x0058cc  0x005916        74  0
0x00591e  0x00594e        48  0
0x005954  0x00596c        24  1
0x00596c  0x0059fa       142  0
0x005a60  0x005a86        38  0
0x005b02  0x005b34        50  0
0x005b8a  0x005bc0        54  0
0x005be2  0x005c0e        44  0
0x005c74  0x005cd0        92  0
0x005cf2  0x005d30        62  0
0x005d38  0x005d74        60  0
0x005d80  0x005da2        34  0
0x005da2  0x005e04        98  0
0x005e04  0x005e38        52  0
0x005e3c  0x005e7a        62  0
0x005ef8  0x00600c       276  0
0x00600c  0x00606a        94  0
0x00606a  0x0060dc       114  0
0x006122  0x0061c6       164  0
0x0061c6  0x006272       172  0
0x006272  0x0062f0       126  0
0x00630c  0x006456       330  0
0x0064a4  0x006606       354  0
0x006608  0x0067b2       426  0
0x0068e4  0x00698a       166  0
0x00698a  0x0069da        80  0
0x0069da  0x006a7e       164  0
0x006a7e  0x006aa0        34  0
0x006ab0  0x006b52       162  0
0x006b52  0x006bda       136  0
0x006bda  0x006c0c        50  0
0x006c0e  0x006c1a        12  0
0x006c1a  0x006c4c        50  1
0x006c4c  0x006c6c        32  0
0x006c6c  0x006d56       234  0
0x006d5c  0x006e3e       226  0
0x006e3e  0x006ecc       142  0
0x006ecc  0x006eea        30  0
0x006f46  0x007076       304  0
0x007076  0x0070fa       132  1
0x0070fa  0x007298       414  0
0x007298  0x007312       122  0
0x007312  0x007330        30  0
0x007390  0x007456       198  0
0x007456  0x00758e       312  0
0x00758e  0x00766a       220  0
0x00766a  0x0076b0        70  0
0x00772e  0x00774e        32  0
0x00775e  0x007792        52  0
0x007792  0x007874       226  0
0x007874  0x0078f2       126  0
